job_name,company_name,location,exp_level,exp_years,skills
Asian Specialty Chef,AccorHotels Middle East,Dubai,Full Time,Not specified,Hospitality/Hotels/Food Services
Valet Driver,AccorHotels Middle East,Dubai,Full Time,Not specified,Hospitality/Hotels/Food Services
Patient Care Partner - (Womens OPC),Sidra Medical and Research Center,Doha,Full Time,Not specified,Medical/Healthcare
Junior Underwriter - Cyber,Zurich International Life,Dubai,Full Time,Not specified,Accounting/Finance
Talent & Culture Driver (Heavy Bus Driver),AccorHotels Middle East,Dubai,Full Time,Not specified,Administration
Project Mgmt Specialist,Saudi Aramco,Riyadh,Full Time,Not specified,IT/Software Development
Electrician,AccorHotels Middle East,Dubai,Full Time,Not specified,Administration
F&B Supervisor - Boons Brasserie & Bar,AccorHotels Middle East,Dubai,Full Time,Not specified,Hospitality/Hotels/Food Services
Accounts Payable,AccorHotels Middle East,Dubai,Full Time,Not specified,Accounting/Finance
Sales Executive (Leisure),AccorHotels Middle East,Dubai,Full Time,Not specified,Business Development
Room Attendant,AccorHotels Middle East,Dubai,Full Time,Not specified,Administration
Premium Services Partner,Sidra Medical and Research Center,Doha,Full Time,Not specified,Customer Service/Support
HR Administrator,"Telecom Systems Provider, LLC",Maadi,Full Time,Entry Level,0 - 2 Yrs of Exp
"Segment Sales Manager, Al-Khobar",ABB,Riyadh,Full Time,Not specified,Customer Service/Support
Communications Officer,International Monetary Fund,Kuwait City,Full Time,Experienced,Customer Service/Support
Planning Engineer - The Emirates Group,PrecisionHire Solutions,Dubai,Full Time,Entry Level,Engineering - Construction/Civil/Architecture
Stores Officer - Gates Corporation,PrecisionHire Solutions,Dubai,Full Time,Entry Level,Logistics/Supply Chain
"Marketing Manager - Marriott International, Inc",PrecisionHire Solutions,Riyadh,Full Time,Experienced,Marketing/PR/Advertising
Intellectual Property Assistant - Saba Intellectual Property,PrecisionHire Solutions,Kuwait City,Full Time,Entry Level,Administration
"Health & Safety Officer, UAE AMZL WHS - Q Express Documents Transport LLC - Dubai South Branch",PrecisionHire Solutions,Dubai,Full Time,Entry Level,Medical/Healthcare
Business Development Manager - Lummus Technology,PrecisionHire Solutions,Riyadh,Full Time,Experienced,Business Development
Key Account Manager - NFV - Delivery Hero,PrecisionHire Solutions,Kuwait City,Full Time,Experienced,Business Development
Cluster Head of Marketing MEA - Alfa Laval,PrecisionHire Solutions,Riyadh,Full Time,Manager,Business Development
IT Support Specialist - Laundrybox,PrecisionHire Solutions,Dubai,Full Time,Entry Level,Installation/Maintenance/Repair
Process Engineer - Worley,PrecisionHire Solutions,Kuwait City,Full Time,Entry Level,IT/Software Development
Procurement Officer/Specialist (SAUDI Nationals only) - Efficio Consulting,PrecisionHire Solutions,Riyadh,Full Time,Entry Level,Administration
Technician- Ballistic - Baker Hughes,PrecisionHire Solutions,Kuwait City,Freelance / Project,Entry Level,IT/Software Development
Sales Executive - Millennium Hotel & Convention Centre Kuwait,PrecisionHire Solutions,Kuwait City,Full Time,Experienced,Business Development
Supervisor Logistics Operations - Delivery Hero,PrecisionHire Solutions,Dubai,Full Time,Experienced,Customer Service/Support
HR Officer - Jahra Warehouse - Alghanim Industries,PrecisionHire Solutions,Kuwait City,Full Time,Entry Level,Administration
Finance Controller - Sulzer,PrecisionHire Solutions,Riyadh,Full Time,Manager,Accounting/Finance
Business Development Manager - Aramex,PrecisionHire Solutions,Kuwait City,Full Time,Experienced,Business Development
Operations Manager - Tajalla,PrecisionHire Solutions,Riyadh,Full Time,Experienced,Administration
"Career Opportunities: Executive, Marketing and Pricing (13343) - Al-Sayer Group",PrecisionHire Solutions,Kuwait City,Full Time,Entry Level,Business Development
Purchasing Specialist - Avenues Stores - IKEA,PrecisionHire Solutions,Kuwait City,Full Time,Entry Level,Logistics/Supply Chain
"Career Opportunities: Technical Engineer Entry Level, Service (13133) - Al-Sayer Group",PrecisionHire Solutions,Kuwait City,Full Time,Entry Level,IT/Software Development
Finance Manager - MSC Mediterranean Shipping Company S.A.,PrecisionHire Solutions,Riyadh,Full Time,Experienced,Accounting/Finance
SUPERVISOR AIRPORT SERVICES - The Emirates Group,PrecisionHire Solutions,Riyadh,Full Time,Experienced,Customer Service/Support
Administrator - Support Staff Admin / HR - Worley,PrecisionHire Solutions,Kuwait City,Full Time,Entry Level,Administration
Lead UI UX Engineer - Senior Product Designer,The Depository Trust & Clearing Corporation (DTCC),Dubai,Full Time,Not specified,Creative/Design/Art
Senior AI/ML Engineer (10 y exp),ARENGY,Dubai,Full Time,Experienced,IT/Software Development
Information Management Assistant - International Organization for Migration,PrecisionHire Solutions,Doha,Freelance / Project,Entry Level,Administration
Project Manager (Jackets & Flare) - McDermott,PrecisionHire Solutions,Doha,Full Time,Entry Level,Engineering - Construction/Civil/Architecture
"EBC Sales Executive - Marriott International, Inc",PrecisionHire Solutions,Doha,Full Time,Experienced,Business Development
Regional Account Manager - Commercial - Fortinet,PrecisionHire Solutions,Doha,Full Time,Experienced,Business Development
Digital Marketing Specialist - That's Living Group - Qatar,PrecisionHire Solutions,Doha,Full Time,Entry Level,Marketing/PR/Advertising
Graphic Designer - Aspire Katara Hospitality,PrecisionHire Solutions,Doha,Full Time,Entry Level,Creative/Design/Art
Storekeeper,Ali Bin Ali,Doha,Full Time,Entry Level,Administration
Auto Electrician,Ali Bin Ali,Doha,Full Time,Entry Level,Engineering - Construction/Civil/Architecture
Mechanic,Ali Bin Ali,Doha,Full Time,Entry Level,Installation/Maintenance/Repair
Admin and Sales Coordinator (FEMALE STAFF ONLY) - DEBONCHE WLL,PrecisionHire Solutions,Doha,Full Time,Entry Level,Administration
MEA Graduate Program Legal Associate,Novartis,Dubai,Full Time,Entry Level,Human Resources
Barista (m/w/d),jobsintown.de GmbH,Al Bahah,Full Time,Entry Level,Hospitality/Hotels/Food Services
Business Development Executive,Apex Group Ltd,Riyadh,Full Time,Experienced,Business Development
Sales Associate - Asics,Apparel Group,Dubai,Full Time,Entry Level,Business Development
Contract Specialist,ADASI,Dubai,Freelance / Project,Entry Level,Administration
Back Office Agent (Excellent English Speakers- Etisalat UAE),Etisalat Egypt,Cairo,Full Time,Entry Level,0 - 1 Yrs of Exp
Technical Inspector,Trans Skills LLC,Dubai,Full Time,Experienced,IT/Software Development
Commis I,The First Group,Dubai,Freelance / Project,Entry Level,Hospitality/Hotels/Food Services
Events & VM Manager UAE,Van Cleef & Arpels,Dubai,Full Time,Experienced,Marketing/PR/Advertising
IT Executive,The First Group,Dubai,Full Time,Experienced,Customer Service/Support
Housekeeper,Combuzz HR Solutions,Dubai,Full Time,Entry Level,Administration
Front Office Coordinator,The First Group,Dubai,Freelance / Project,Entry Level,Administration
Swimming lifeguard,ECCO Gulf WLL,Doha,Full Time,Entry Level,Operations/Management
Data Entry Representatives (Work From Home),TheSafeCig,Dubai,Full Time,Not specified,Administration
Senior photographer,ECCO Gulf WLL,Doha,Full Time,Experienced,Creative/Design/Art
Vodafone UK - International Account Advisor - WFH,_VOIS Egypt,6th of October,Full Time,Entry Level,0 - 2 Yrs of Exp
Endorsement Handler,Combuzz HR Solutions,Dubai,Full Time,Entry Level,Marketing/PR/Advertising
Admin & Business Support Associate,Boehringer Ingelheim,Riyadh,Full Time,Entry Level,Administration
Senior Social Media Editor,ITP Media Group,Dubai,Full Time,Experienced,Writing/Editorial
ICT Operations Manager,Keller Executive Search International,Riyadh,Full Time,Experienced,Logistics/Supply Chain
Public Relations Expert,ECCO Gulf WLL,Doha,Full Time,Entry Level,Administration
Remote Data Entry Representative (Work From Home),TheSafeCig,Riyadh,Full Time,Not specified,Customer Service/Support
Sales Executive-Junior & Mid level,Combuzz HR Solutions,Dubai,Full Time,Entry Level,Business Development
Remote Data Entry Clerks (Work From Home),TheSafeCig,Riyadh,Full Time,Not specified,Administration
Entry-Level Remote Administrative Clerk,TheSafeCig,Riyadh,Full Time,Not specified,Administration
Personal Trainer,ECCO Gulf WLL,Doha,Full Time,Experienced,Customer Service/Support
Digital Marketing,Ariane Real Estate,Doha,Full Time,Entry Level,Marketing/PR/Advertising
"Customer service representative (Etisalat UAE)Excellent English speakers,graduates",Etisalat Egypt,Maadi,Full Time,Entry Level,0 - 5 Yrs of Exp
Operation Coordinator,WATCO  Trading Co.,6th of October,Full Time,Entry Level,0 - 1 Yrs of Exp
Email & Chat Account II B1+ English Speakers - Maadi,Etisalat Egypt,Cairo,Full Time,Entry Level,0 - 1 Yrs of Exp
Medical tape coating Technical operator,National medical supply,Basioun,Full Time,Experienced,3 - 10 Yrs of Exp
Sales Manager,Auto MAHMOUD HAMAD,6th of October,Full Time,Manager,3 - 7 Yrs of Exp
Patient Relation Officer,LMS,Assuit,Part Time,Experienced,1 - 3 Yrs of Exp
Sales Executive,Ellithy Group,Heliopolis,Full Time,Entry Level,0 - 3 Yrs of Exp
Sales Manager,ALWAN AL ALBARQ ,Nasr City,Full Time,Manager,4 - 10 Yrs of Exp
Frontend Developer,Equivator,Riyadh,Full Time,Experienced,5 - 10 Yrs of Exp
Senior Cloud Software Engineer,Outvise,Doha,Full Time,Experienced,IT/Software Development
chat & Mails account|Etisalat UAE |Fluency in English,Etisalat Egypt,Maadi,Full Time,Entry Level,0 - 15 Yrs of Exp
Backend Developer,Equivator,Riyadh,Full Time,Experienced,5 - 10 Yrs of Exp
Customs Clearance Specialist,MINISO LIFE,Nasr City,Full Time,Experienced,3 - 7 Yrs of Exp
Customer Success Lead,Sylndr,Katameya,Full Time,Experienced,2 - 5 Yrs of Exp
English Speakers Vacancy - Vodafone Ireland - WFH opportunity,_VOIS Egypt,6th of October,Full Time,Entry Level,0 - 2 Yrs of Exp
National Sales Manager,Next Gen Supplements ,Giza,Full Time,Manager,10 - 12 Yrs of Exp
Sales Designer,Creative Closets,New Cairo,Full Time,Experienced,2 - 5 Yrs of Exp
Senior Architectural Procurement Engineer,Genedy Group Construction ,Maadi,Full Time,Experienced,6 - 8 Yrs of Exp
pharmacist,elrady pharmacy,Faisal,Full Time,Entry Level,1+ Yrs of Exp
real estat AGENT,AL-HADY for real estate development,Cairo,Full Time,Experienced,2 - 4 Yrs of Exp
Civil Procurement Engineer,Genedy Group Construction ,Maadi,Full Time,Entry Level,3 - 5 Yrs of Exp
Graphic Designer,New Aqar,Nasr City,Full Time,Entry Level,1+ Yrs of Exp
Telesales Agent,Xceed Contact Center,Giza,Full Time,Entry Level,0 - 1 Yrs of Exp
International Account Advisor - VOIS UK - WFH opportunity - Cairo/Alexandria residents,_VOIS Egypt,6th of October,Full Time,Entry Level,0 - 2 Yrs of Exp
Senior Electrical Procurement Engineer,Genedy Group Construction ,Maadi,Full Time,Experienced,6 - 8 Yrs of Exp
Invoicing Admin,Ericsson,Riyadh,Full Time,Not specified,Accounting/Finance
HR Recruiter,Xceed Contact Center,6th of October,Full Time,Experienced,1 - 2 Yrs of Exp
Project Manager,Epic,Riyadh,Full Time,Entry Level,Engineering - Construction/Civil/Architecture
Assistant Boutique Manager,Chloé,Riyadh,Full Time,Experienced,Administration
Corporate Sales Specialist - Photo/video equipment,Shutter Shop,Cairo,Full Time,Experienced,2 - 4 Yrs of Exp
Senior Mechanical Procurement Engineer,Genedy Group Construction ,Maadi,Full Time,Experienced,6 - 8 Yrs of Exp
Head of People & Culture,Taager,Maadi,Full Time,Senior Management,6 - 8 Yrs of Exp
Graphic Designer- Real Estate,New Home Real Estate,Cairo,Full Time,Experienced,1 - 2 Yrs of Exp
Media Buyer- Real Estate,New Home Real Estate,New Cairo,Full Time,Experienced,2 - 3 Yrs of Exp
Digital Marketing Specialist,New Home Real Estate,Cairo,Full Time,Experienced,1 - 3 Yrs of Exp
Interior designer,New Home Real Estate,New Cairo,Full Time,Experienced,3 - 5 Yrs of Exp
Accountant with Swedish or European background,Dubai Egypt Sweden,Heliopolis,Full Time,Experienced,4 - 20 Yrs of Exp
Logistics Specialist (Import and Export) / Senior,ACMA for Chemicals and Mining ,New Nozha,Full Time,Experienced,3 - 7 Yrs of Exp
General Manager,SRT Marine Systems plc,Makkah,Full Time,Experienced,Accounting/Finance
"Non-Voice Account , Etisalat UAE, Customer Service Representative",Etisalat Egypt,Maadi,Full Time,Entry Level,Customer Service/Support
"Email&Chat (Etisalat UAE), English Account Advisor, Maadi",Etisalat Egypt,Maadi,Full Time,Entry Level,0 - 15 Yrs of Exp
Junior Accountant,intelmatix,Riyadh,Full Time,Entry Level,Accounting/Finance
Performance Marketing Specialist,Confidential,Cairo,Full Time,Experienced,2 - 5 Yrs of Exp
Sales Account Manager,Telegeeks LLC,Downtown,Full Time,Entry Level,0 - 1 Yrs of Exp
Telesales Representative,Options,Mohandessin,Full Time,Experienced,1 - 5 Yrs of Exp
Sr. Interior designer,La arte ,Nasr City,Full Time,Experienced,6 - 10 Yrs of Exp
"Technical Office Engineer (interior fit out ,Wooden and Furniture shop drawings)",La arte ,Nasr City,Full Time,Experienced,6 - 10 Yrs of Exp
Senior QS Engineer (interior fit out and joinery Works),La arte ,Nasr City,Full Time,Experienced,8 - 12 Yrs of Exp
Senior brand executive - E-commerce,Shutter Shop,Sheraton,Full Time,Experienced,3 - 4 Yrs of Exp
Admin Manager,Nahdet Misr Publishing Group,Mohandessin,Full Time,Manager,7 - 10 Yrs of Exp
AX Consultant,Allamna Integrated Solutions,Nasr City,Full Time,Experienced,1 - 3 Yrs of Exp
Sales Executive(printing),Allamna Integrated Solutions,Nasr City,Full Time,Experienced,3 - 5 Yrs of Exp
Senior Marketing Executive,Allamna Integrated Solutions,Nasr City,Full Time,Experienced,5 - 7 Yrs of Exp
Sales Advisor,Ritaj real estate,New Cairo,Full Time,Experienced,2 - 3 Yrs of Exp
Mechanical Design Engineer,El Mansour Development ,Mokattam,Full Time,Experienced,3 - 5 Yrs of Exp
Customer Support Representative,Majorel Egypt,Alexandria,Full Time,Entry Level,Customer Service/Support
Sales Admin,Future Face,Nasr City,Full Time,Experienced,2 - 4 Yrs of Exp
Technical Trainer,MCV,Obour City,Full Time,Entry Level,0 - 3 Yrs of Exp
Field Specialist,Rawabi United Safety Services Company Limited (RUSS),Riyadh,Full Time,Entry Level,Engineering - Construction/Civil/Architecture
Material Planner,Shinshin Electronics Egypt,10th of Ramadan City,Full Time,Entry Level,2 - 4 Yrs of Exp
Customer Service Specialist,InstaShop,Cairo,Full Time,Entry Level,1 - 3 Yrs of Exp
Financial Supervisor - Tourism,Sun Pyramids Tours,Faisal,Full Time,Manager,3 - 10 Yrs of Exp
Digital Content Creator,Onecard,Nasr City,Full Time,Experienced,3 - 5 Yrs of Exp
Senior Media Buyer & Performance Specialist,Onecard,Nasr City,Full Time,Experienced,3 - 5 Yrs of Exp
French Tour Leader,Sun Pyramids Tours,Haram,Full Time,Experienced,1 - 3 Yrs of Exp
Administrative Assistant,GROOVY Medical Spa,Sheikh Zayed,Full Time,Experienced,0 - 2 Yrs of Exp
Software Business Analyst / Product Owner,Onecard,Nasr City,Full Time,Experienced,3+ Yrs of Exp
Technical Office Manager,Technomaster For Metal Industries (Technometal),10th of Ramadan City,Full Time,Experienced,5 - 7 Yrs of Exp
Dokki & Heliopolis German Teacher,Esparanza,Dokki,Full Time,Experienced,2+ Yrs of Exp
Foreign English Teacher for Heliopolis & Dokki Branch,Esparanza,Heliopolis,Full Time,Experienced,1+ Yrs of Exp
Outgoing Tour Operator,Atyaf Tours ,Nasr City,Full Time,Experienced,3+ Yrs of Exp
Sales Representative,Technomaster For Metal Industries (Technometal),10th of Ramadan City,Full Time,Experienced,3 - 5 Yrs of Exp
tourism admin,Sun Pyramids Tours,Haram,Full Time,Entry Level,1 - 2 Yrs of Exp
Office & Foreign Purchasing Specialist,Signe for Trade and Furniture,Mohandessin,Full Time,Experienced,3 - 5 Yrs of Exp
"Senior Site Engineer (EGE, Sister Company for 3Brothers Group)",3Brothers,10th of Ramadan City,Full Time,Experienced,3 - 5 Yrs of Exp
Senior Data Engineer,Global Brands,New Cairo,Full Time,Experienced,4+ Yrs of Exp
Junior Business Developer Executive,Cube Localization,Garden City,Full Time,Entry Level,Business Development
Admin,Cairo international for development and investment,Cairo,Full Time,Experienced,4 - 5 Yrs of Exp
Account,Cairo international for development and investment,Cairo,Full Time,Experienced,5 - 6 Yrs of Exp
Store Keeper,Cairo international for development and investment,Nasr City,Full Time,Experienced,3 - 5 Yrs of Exp
Cost Control Engineer,AluNile,Mohandessin,Full Time,Entry Level,1 - 3 Yrs of Exp
Toll Manufacuring Coordinator,Bluebell Pharmaceuticals ,Maadi,Full Time,Experienced,3 - 5 Yrs of Exp
Senior Outgoing Tour Operator,TravelYalla ,Nasr City,Full Time,Experienced,3+ Yrs of Exp
Well Test Operator I,Rawabi United Safety Services Company Limited (RUSS),Riyadh,Full Time,Entry Level,IT/Software Development
Organizational Development Assistant - Tamheer,Jockey Club of Saudi Arabia (JCSA),Riyadh,Full Time,Student,Administration
Teaching Assistant in Cyber Security-2024,The Community College of Qatar,Doha,Full Time,Not specified,IT/Software Development
Sales Representative - Furniture,MOBILOR,New Cairo,Full Time,Entry Level,1+ Yrs of Exp
Senior Specialist – Security & Services,Abdullah Abdulghani & Bros.Co. (AAB),Doha,Full Time,Experienced,5+ Yrs of Exp
Graphic Designer,dyne Digital,6th of October,Full Time,Entry Level,0 - 2 Yrs of Exp
People Operations Specialist,dyne Digital,6th of October,Full Time,Entry Level,2 - 6 Yrs of Exp
Operations Specialist,dyne Digital,6th of October,Full Time,Entry Level,2 - 6 Yrs of Exp
Dermatologist,Dermatology and Laser Clinic,New Cairo,Full Time,Entry Level,1+ Yrs of Exp
Front Desk Officer,PresiDental esthetics,New Cairo,Full Time,Experienced,0 - 4 Yrs of Exp
Documents Controller,Ahram Security Group,10th of Ramadan City,Full Time,Experienced,1 - 3 Yrs of Exp
Sales Operations Coordinator (Reporting & Analysis),BBI-Consultancy,Nasr City,Full Time,Entry Level,2 - 3 Yrs of Exp
Senior UI / UX Designer,Akwad,Alexandria,Full Time,Experienced,3 - 6 Yrs of Exp
Technical Recruiter,Dimofinf Operations Center,Nasr City,Full Time,Experienced,3 - 5 Yrs of Exp
Accounting Analyst,Alreda Sealants group,Shubra,Full Time,Experienced,1 - 2 Yrs of Exp
Interior Design Engineer,E.S,Tanta,Full Time,Experienced,2 - 5 Yrs of Exp
German Teacher,Windrose Academy,Cairo,Full Time,Experienced,2 - 10 Yrs of Exp
English - Booking Agent,Sutherland,New Cairo,Full Time,Experienced,Customer Service/Support
VOIS - UK account - Customer Service Representative - WFH,_VOIS Egypt,Cairo,Full Time,Entry Level,Customer Service/Support
Talent Acquisition Supervisor,Alarabia Group,10th of Ramadan City,Full Time,Experienced,5 - 7 Yrs of Exp
French Teacher,Windrose Academy,Maadi,Full Time,Experienced,3+ Yrs of Exp
English - Customer Support Specialist,Sutherland,New Cairo,Full Time,Entry Level,Customer Service/Support
Call Center Agent,PresiDental esthetics,New Cairo,Full Time,Experienced,0 - 4 Yrs of Exp
Odoo Implementation Manager,OdooTec,New Cairo,Full Time,Manager,6+ Yrs of Exp
English Instructors - 6th of October Branch,SYE English Community,Maadi,Full Time,Experienced,2+ Yrs of Exp
English Inbound Tour Operator,Ibis Travel,Haram,Full Time,Experienced,2 - 15 Yrs of Exp
Spanish Inbound Tour Operator,Ibis Travel,Haram,Full Time,Experienced,2 - 15 Yrs of Exp
Tour Leader - English Speaking,Ibis Travel,Haram,Part Time,Experienced,2 - 5 Yrs of Exp
Tour Leader - Spanish Speaking,Ibis Travel,Giza,Part Time,Experienced,2 - 5 Yrs of Exp
English Instructors - Maadi Branch,SYE English Community,Maadi,Full Time,Experienced,2+ Yrs of Exp
English Instructors - Dokki Branch,SYE English Community,Dokki,Full Time,Experienced,2+ Yrs of Exp
Claim Officer,hr@clinizone.net,New Cairo,Full Time,Experienced,3 - 5 Yrs of Exp
General Accountant,realme,Nasr City,Full Time,Experienced,1 - 3 Yrs of Exp
Genesys Cloud System Engineer,Eqlaa,Sheraton,Full Time,Experienced,4 - 6 Yrs of Exp
Mechanical Procurement Engineer Section Head,New Plan ,Sheraton,Full Time,Experienced,10 - 15 Yrs of Exp
"Visual Merchandiser (Glassware , Kitchenware)",Outservingplus,Cairo,Full Time,Experienced,1 - 3 Yrs of Exp
Store Manager / Retail Sector,Outservingplus,Giza,Full Time,Experienced,5 - 7 Yrs of Exp
Reservation Manager,Alriada,Nasr City,Full Time,Manager,5 - 8 Yrs of Exp
Senior Accountant,Alriada,Nasr City,Full Time,Experienced,5 - 8 Yrs of Exp
Receptionist,Selah ElTelmeez For Publishing & printing,Obour City,Full Time,Experienced,2 - 4 Yrs of Exp
Front-End / React & React-Native Developer - Alexandria,Arabic Localizer,San Stefano,Full Time,Entry Level,1+ Yrs of Exp
Accountant - Construction,crave,New Damietta,Full Time,Experienced,3 - 5 Yrs of Exp
Export Sales Specialist,Confidential,10th of Ramadan City,Full Time,Experienced,1 - 3 Yrs of Exp
Marketing Specialist,IGI-Group,6th of October,Full Time,Entry Level,1 - 4 Yrs of Exp
Sales Representative,PC-Link,Maadi,Full Time,Entry Level,1 - 3 Yrs of Exp
Receptionist,PresiDental esthetics,New Cairo,Full Time,Experienced,0 - 4 Yrs of Exp
Contract Engineer,Confidential,Maadi,Full Time,Experienced,5 - 7 Yrs of Exp
Front Desk Agent (October branch),SYE English Community,6th of October,Full Time,Experienced,2+ Yrs of Exp
Design Engineer,Ahram Security Group,10th of Ramadan City,Full Time,Experienced,3 - 5 Yrs of Exp
